id,90% Credible Intervals_x,90% Credible Intervals_y,90% Credible Intervals_x2,90% Credible Intervals_y2,Posterior Predictive_x,Posterior Predictive_y,Posterior Mode_x,Posterior Mode_y,Exact Data_x,Exact Data_y,Low Outlier Data_x,Low Outlier Data_y
1,1E-06,388.073711556523,1E-06,1709.51418705157,1E-06,1642.84292141974,1E-06,581.996328973467,0.270642201834862,165,0.981651376146789,57
2,2E-06,382.590400374024,2E-06,1540.13726961749,2E-06,1401.12448573655,2E-06,561.419552038434,0.958715596330275,73,0.970183486238532,62
3,5E-06,374.665373857506,5E-06,1338.92228182123,5E-06,1143.68870783879,5E-06,533.819199202909,0.373853211009174,149,0.993119266055046,46
4,1E-05,368.100995058384,1E-05,1202.37366418774,1E-05,986.939899447723,1E-05,512.634004549488,0.935779816513761,75,,
5,2E-05,360.652225334609,2E-05,1079.2660765266,2E-05,856.310039569583,2E-05,491.181215431768,0.580275229357798,121,,
6,5E-05,349.923759000678,5E-05,932.702228163871,5E-05,716.076874934033,5E-05,462.405594876396,0.201834862385321,173,,
7,0.0001,341.447352740291,0.0001,831.918005234592,0.0001,629.591387558797,0.0001,440.317901546509,0.844036697247706,97,,
8,0.0002,331.686142250244,0.0002,741.207834900452,0.0002,556.726163286973,0.0002,417.950474277385,0.477064220183486,133,,
9,0.0005,317.717860523571,0.0005,633.848552558055,0.0005,477.187956355769,0.0005,387.945484699978,0.110091743119266,204,,
10,0.001,305.844807369004,0.001,561.868604692095,0.001,427.145519778687,0.001,364.90998671356,0.488532110091743,132,,
11,0.002,293.034961720146,0.002,497.166093802144,0.002,383.931931927622,0.002,341.575023762463,0.16743119266055,179,,
12,0.005,274.098286554233,0.005,420.176673931038,0.005,335.062061648021,0.005,310.245717104501,0.534403669724771,123,,
13,0.01,257.928077134971,0.01,368.080993109965,0.01,302.541197773372,0.01,286.149743109651,0.178899082568807,176,,
14,0.02,239.999833156964,0.02,320.679627592493,0.02,272.533077982973,0.02,261.658457881834,0.13302752293578,200,,
15,0.05,213.391904381544,0.05,264.747253993895,0.05,234.854162175272,0.05,228.489539319023,0.408256880733945,142,,
16,0.1,190.605835056502,0.1,226.703002192782,0.1,206.579667747212,0.1,202.478713304506,0.236238532110092,167,,
17,0.2,165.159710339803,0.2,190.761335476749,0.2,177.291729595298,0.2,174.998877006569,0.339449541284404,155,,
18,0.3,148.426496010061,0.3,170.245593026692,0.3,158.96663227562,0.3,157.633711906034,0.350917431192661,153,,
19,0.5,124.571279045987,0.5,141.83379328174,0.5,132.932375077613,0.5,132.779770752865,0.327981651376147,156,,
20,0.7,104.021468430027,0.7,118.823389663026,0.7,111.30454261028,0.7,111.897160025971,0.293577981651376,162,,
21,0.8,92.6587395709806,0.8,107.001811589004,0.8,99.9275053675036,0.8,100.835236362235,0.0871559633027523,205,,
22,0.9,77.4773230691279,0.9,93.1634505207436,0.9,85.8267844347075,0.9,87.1056580412212,0.809633027522936,102,,
23,0.95,65.4646483183851,0.95,83.6603093281109,0.95,75.2781838064986,0.95,76.960680002009,0.247706422018349,167,,
24,0.98,52.4587240043255,0.98,74.5697765214669,0.98,64.1484497275674,0.98,66.6232126723038,0.465596330275229,133,,
