Year,Gabba,Eden Gardens,Headingley,Lord's,MCG,,,Gabba,Gabba,Lords,Lords,MCG,MCG,Headingley,Headingley
2003,144,,130,259,257,,,,,2018,137,,,,
2004,141,121,132,221,142,,,,,2019,115,,,,
2005,149,147,,194,137,,,,,2021,200,,,,
2006,196,,192,202,156,,,,,2022,115,,,,
2007,145,202,226,134,124,,,,,2023,205,,,,
2008,131,,174,199,166,,,,,2024,143,,,,
2009,104,,110,161,120,,,,,2025,136,,,,
2010,235,165,77,226,168,,,,,,,,,,
2011,139,176,,202,89,,,,,,,,,,
2012,259,190,182,122,106,,,,,,,,,,
2013,124,177,130,180,116,,,,,,,,,,
2014,144,,160,200,192,,,,,,,,,,
2015,174,,120,215,144,,,,,,,,,,
2016,137,87,140,167,205,,,,,,,,,,
2017,141,104,147,190,244,,,,,,,,,,
2018,,,80,137,106,,,,,,,,,,
2019,185,136,135,115,121,,,,,,,,,,
2020,,,,,112,,,,,,,,,,
2021,152,,121,200,76,,,,,,,,,,
2022,92,,162,115,200,,,,,,,,,,
2023,,,118,205,96,,,,,,,,,,
2024,152,,,143,140,,,,,,,,,,
2025,138,55,149,136,46,,,,,,,,,,
