ground,year,score
MCG,1892,25
MCG,1892,35
MCG,1892,3
MCG,1892,11
MCG,1892,28
MCG,1892,6
MCG,1892,0
MCG,1892,4
MCG,1892,16
MCG,1892,24
MCG,1892,5
MCG,1894,0
MCG,1894,30
MCG,1894,10
MCG,1894,0
MCG,1894,0
MCG,1894,6
MCG,1894,9
MCG,1894,3
MCG,1894,5
MCG,1894,1
MCG,1894,0
MCG,1894,2
MCG,1894,4
MCG,1894,32
MCG,1894,2
MCG,1894,32
MCG,1894,10
MCG,1894,16
MCG,1894,10
MCG,1894,1
MCG,1894,11
MCG,1894,1
MCG,1894,15
MCG,1894,41
MCG,1894,173
MCG,1894,37
MCG,1894,21
MCG,1894,53
MCG,1894,24
MCG,1894,31
MCG,1894,33
MCG,1894,30
MCG,1894,11
MCG,1894,95
MCG,1894,54
MCG,1894,43
MCG,1894,12
MCG,1894,5
MCG,1894,68
MCG,1894,14
MCG,1894,4
MCG,1894,3
MCG,1894,2
MCG,1894,26
MCG,1895,42
MCG,1895,22
MCG,1895,57
MCG,1895,8
MCG,1895,70
MCG,1895,74
MCG,1895,55
MCG,1895,6
MCG,1895,10
MCG,1895,34
MCG,1895,23
MCG,1895,32
MCG,1895,5
MCG,1895,68
MCG,1895,30
MCG,1895,120
MCG,1895,73
MCG,1895,5
MCG,1895,11
MCG,1895,0
MCG,1895,10
MCG,1895,11
MCG,1895,42
MCG,1895,11
MCG,1895,51
MCG,1895,18
MCG,1895,30
MCG,1895,50
MCG,1895,15
MCG,1895,10
MCG,1895,0
MCG,1895,14
MCG,1895,13
MCG,1895,93
MCG,1895,5
MCG,1895,11
MCG,1895,140
MCG,1895,20
MCG,1895,15
MCG,1898,36
MCG,1898,112
MCG,1898,58
MCG,1898,71
MCG,1898,89
MCG,1898,79
MCG,1898,17
MCG,1898,14
MCG,1898,19
MCG,1898,7
MCG,1898,2
MCG,1898,35
MCG,1898,3
MCG,1898,21
MCG,1898,71
MCG,1898,23
MCG,1898,51
MCG,1898,0
MCG,1898,44
MCG,1898,1
MCG,1898,46
MCG,1898,3
MCG,1898,38
MCG,1898,3
MCG,1898,27
MCG,1898,33
MCG,1898,1
MCG,1898,3
MCG,1898,15
MCG,1898,11
MCG,1898,12
MCG,1898,0
MCG,1898,2
MCG,1898,1
MCG,1898,12
MCG,1898,188
MCG,1898,0
MCG,1898,0
MCG,1898,4
MCG,1898,7
MCG,1898,46
MCG,1898,32
MCG,1898,20
MCG,1898,9
MCG,1898,8
MCG,1898,6
MCG,1898,24
MCG,1898,22
MCG,1898,24
MCG,1898,2
MCG,1898,30
MCG,1898,17
MCG,1898,21
MCG,1898,0
MCG,1898,20
MCG,1898,23
MCG,1898,2
MCG,1898,45
MCG,1898,55
MCG,1898,25
MCG,1898,25
MCG,1898,16
MCG,1898,26
MCG,1898,26
MCG,1898,4
MCG,1898,2
MCG,1898,64
MCG,1898,29
MCG,1898,0
MCG,1898,21
MCG,1902,0
MCG,1902,19
MCG,1902,15
MCG,1902,16
MCG,1902,0
MCG,1902,0
MCG,1902,32
MCG,1902,5
MCG,1902,4
MCG,1902,1
MCG,1902,14
MCG,1902,13
MCG,1902,0
MCG,1902,2
MCG,1902,0
MCG,1902,27
MCG,1902,0
MCG,1902,6
MCG,1902,0
MCG,1902,2
MCG,1902,1
MCG,1902,4
MCG,1902,16
MCG,1902,23
MCG,1902,3
MCG,1902,0
MCG,1902,5
MCG,1902,17
MCG,1902,99
MCG,1902,16
MCG,1902,16
MCG,1902,104
MCG,1902,45
MCG,1902,1
MCG,1902,12
MCG,1902,66
MCG,1902,25
MCG,1902,32
MCG,1902,0
MCG,1902,25
MCG,1902,6
MCG,1902,2
MCG,1902,0
MCG,1902,0
MCG,1902,27
MCG,1902,10
MCG,1902,28
MCG,1902,25
MCG,1902,7
MCG,1902,3
MCG,1902,17
MCG,1902,4
MCG,1902,0
MCG,1902,5
MCG,1902,9
MCG,1902,25
MCG,1902,35
MCG,1902,3
MCG,1902,13
MCG,1902,19
MCG,1902,32
MCG,1902,41
MCG,1902,0
MCG,1902,10
MCG,1902,8
MCG,1902,0
MCG,1902,18
MCG,1902,28
MCG,1902,87
MCG,1902,41
MCG,1902,16
MCG,1902,20
MCG,1902,22
MCG,1902,11
MCG,1902,0
MCG,1902,3
MCG,1902,1
MCG,1902,49
MCG,1902,15
MCG,1902,4
MCG,1902,16
MCG,1902,36
MCG,1902,2
MCG,1902,9
MCG,1902,7
MCG,1902,28
MCG,1902,4
MCG,1902,5
MCG,1904,68
MCG,1904,58
MCG,1904,97
MCG,1904,49
MCG,1904,20
MCG,1904,2
MCG,1904,7
MCG,1904,2
MCG,1904,4
MCG,1904,3
MCG,1904,1
MCG,1904,10
MCG,1904,74
MCG,1904,5
MCG,1904,0
MCG,1904,1
MCG,1904,18
MCG,1904,2
MCG,1904,1
MCG,1904,8
MCG,1904,0
MCG,1904,2
MCG,1904,3
MCG,1904,0
MCG,1904,62
MCG,1904,3
MCG,1904,4
MCG,1904,9
MCG,1904,0
MCG,1904,0
MCG,1904,10
MCG,1904,4
MCG,1904,8
MCG,1904,35
MCG,1904,20
MCG,1904,31
MCG,1904,0
MCG,1904,7
MCG,1904,0
MCG,1904,0
MCG,1904,7
MCG,1904,3
MCG,1904,0
MCG,1904,9
MCG,1904,88
MCG,1904,16
MCG,1904,29
MCG,1904,36
MCG,1904,3
MCG,1904,32
MCG,1904,8
MCG,1904,6
MCG,1904,6
MCG,1904,6
MCG,1904,0
MCG,1904,3
MCG,1904,0
MCG,1904,1
MCG,1904,10
MCG,1904,18
MCG,1904,0
MCG,1904,5
MCG,1904,0
MCG,1904,16
MCG,1904,6
MCG,1904,9
MCG,1904,0
MCG,1904,24
MCG,1904,0
MCG,1904,0
MCG,1904,16
MCG,1904,31
MCG,1904,19
MCG,1904,25
MCG,1904,5
MCG,1904,0
MCG,1904,0
MCG,1904,30
MCG,1904,15
MCG,1904,0
MCG,1904,11
MCG,1904,1
MCG,1904,4
MCG,1904,16
MCG,1904,0
MCG,1904,19
MCG,1908,49
MCG,1908,37
MCG,1908,16
MCG,1908,61
MCG,1908,31
MCG,1908,10
MCG,1908,27
MCG,1908,17
MCG,1908,15
MCG,1908,1
MCG,1908,0
MCG,1908,13
MCG,1908,83
MCG,1908,15
MCG,1908,126
MCG,1908,49
MCG,1908,12
MCG,1908,32
MCG,1908,16
MCG,1908,14
MCG,1908,6
MCG,1908,6
MCG,1908,64
MCG,1908,63
MCG,1908,3
MCG,1908,15
MCG,1908,77
MCG,1908,54
MCG,1908,18
MCG,1908,53
MCG,1908,27
MCG,1908,3
MCG,1908,0
MCG,1908,50
MCG,1908,28
MCG,1908,0
MCG,1908,39
MCG,1908,30
MCG,1908,19
MCG,1908,15
MCG,1908,10
MCG,1908,38
MCG,1908,16
MCG,1908,18
MCG,1908,48
MCG,1908,0
MCG,1908,7
MCG,1908,37
MCG,1908,10
MCG,1908,32
MCG,1908,51
MCG,1908,12
MCG,1908,2
MCG,1908,2
MCG,1908,1
MCG,1908,57
MCG,1908,13
MCG,1908,8
MCG,1908,8
MCG,1908,4
MCG,1908,0
MCG,1908,1
MCG,1908,3
MCG,1908,3
MCG,1908,3
MCG,1908,1
MCG,1908,10
MCG,1908,0
MCG,1908,25
MCG,1908,4
MCG,1908,29
MCG,1908,133
MCG,1908,54
MCG,1908,29
MCG,1908,66
MCG,1908,18
MCG,1908,2
MCG,1908,0
MCG,1908,43
MCG,1908,39
MCG,1908,3
MCG,1908,10
MCG,1908,2
MCG,1908,0
MCG,1908,31
MCG,1908,22
MCG,1908,11
MCG,1908,20
MCG,1910,34
MCG,1910,85
MCG,1910,39
MCG,1910,4
MCG,1910,7
MCG,1910,58
MCG,1910,75
MCG,1910,18
MCG,1910,15
MCG,1910,3
MCG,1910,6
MCG,1910,42
MCG,1910,24
MCG,1910,204
MCG,1910,33
MCG,1910,26
MCG,1910,5
MCG,1910,77
MCG,1910,58
MCG,1910,0
MCG,1910,6
MCG,1910,8
MCG,1910,159
MCG,1910,14
MCG,1910,0
