year,peak_score
1889,120
1892,134
1896,124
1899,112
1902,104
1906,74
1910,187
1921,142
1923,76
1927,99
1931,141
1936,121
1938,181
1949,178
1954,135
1957,189
1962,113
1965,154
1966,209
1970,127
1993,86
1994,102
1995,112
1996,66
1997,169
1998,113
1999,168
2000,120
2001,112
2002,138
2003,228
2004,142
2005,149
2006,262
2007,116
2008,98
2009,163
2010,183
2011,161
2012,224
2013,111
2014,161
2015,148
2016,258
2017,129
2018,141
2019,103
2020,133
2022,100
2024,106
2025,259
