year,peak_score
1934,70
1948,162
1951,115
1952,110
1955,120
1956,69
1958,256
1960,113
1961,68
1964,129
1965,153
1966,90
1969,99
1972,75
1974,139
1977,103
1978,182
1979,167
1980,90
1982,83
1983,161
1984,111
1987,141
1993,182
1996,153
1998,163
1999,188
2001,281
2002,176
2004,121
2005,147
2007,202
2010,165
2011,176
2012,190
2013,177
2016,87
2017,104
2019,136
2025,55
