year,peak_score
1889,46
1896,53
1914,117
1949,136
1950,167
1954,87
1957,70
1958,77
1962,109
1965,137
1967,105
1970,126
1992,135
1995,91
1997,116
1998,85
1999,174
2000,150
2001,196
2004,126
2007,104
2013,137
2014,127
2016,117
2017,125
2018,126
2019,86
2020,135
2022,84
2024,105
